97989,50290,97989,51491,1202
97989,50290,97502,51491,584172
97989,50290,2375,50925,60809868
97989,50290,2009,50925,61042644
97989,50290,2009,50270,1823601
97989,50290,94671,50270,63023
97989,50290,97545,49067,541346
97989,50290,98367,49067,463138
97989,50290,98367,50290,379
97989,51491,97989,50290,1200
97989,51491,97502,51491,486
97989,51491,2375,50925,54021345
97989,51491,94671,50270,4046740
97989,51491,97545,49067,1073389
97502,51491,97989,50290,585600
97502,51491,97989,51491,488
97502,51491,97502,52723,1233
97502,51491,97415,55111,311406
97502,51491,2667,54524,287726356
97502,51491,2667,53339,175348066
97502,51491,2375,52126,60500136
97502,51491,2375,50925,53746190
97502,51491,94671,50270,3452600
97502,51491,94671,48487,8498490
97502,51491,96940,41756,5460774
97502,51491,97524,46669,110883
97502,51491,97524,47877,83099
97502,51491,97545,47877,158972
97502,51491,97545,49067,106612
97502,52723,97502,51491,1231
97502,52723,97969,52723,468
97502,52723,97969,53929,564876
97502,52723,97784,53929,341581
97502,52723,97784,55111,676087
97502,52723,97415,55111,205454
97502,52723,2667,54524,170890868
97502,52723,2667,53339,58512578
97502,52723,2335,53339,58717422
97502,52723,2335,52126,56718936
97502,52723,2375,52126,56695096
97502,52723,2375,50925,170941422
97502,52723,94671,50270,6939160
97502,52723,94671,48487,11985050
97502,52723,96940,41756,6151926
97969,52723,97502,52723,466
97969,52723,97969,53929,1207
97969,52723,97784,53929,222088
97969,52723,2667,53339,58800717
97969,52723,2335,53339,59005561
97969,53929,97502,52723,561530
97969,53929,97969,52723,1205
97969,53929,97784,53929,184
97969,53929,2667,53339,56132289
97784,53929,97502,52723,338605
97784,53929,97969,52723,224130
97784,53929,97969,53929,186
97784,53929,97784,55111,1183
97784,53929,97415,55111,435344
97784,53929,2667,54524,56689136
97784,53929,2667,53339,56023324
97784,55111,97502,52723,670747
97784,55111,97784,53929,1181
97784,55111,97415,55111,368
97784,55111,1958,54524,56153450
97784,55111,2667,54524,55737976
97784,55111,2667,53339,168450436
97415,55111,97502,51491,318472
97415,55111,97502,52723,210056
97415,55111,97784,53929,436970
97415,55111,97784,55111,370
97415,55111,97415,56355,1245
97415,55111,97381,60036,162558
97415,55111,3554,59411,403691860
97415,55111,2752,59411,407141262
97415,55111,2752,58208,293262876
97415,55111,2547,58208,293897966
97415,55111,2547,56980,177401290
97415,55111,2517,56980,177457390
97415,55111,2517,55823,67661561
97415,55111,1958,55823,68060128
97415,55111,1958,54524,55937216
97415,55111,2667,54524,55521742
97415,55111,2667,53339,167796937
97415,55111,94671,50270,13276120
97415,55111,94671,48487,18166889
97415,55111,96940,41756,6329796
97415,56355,97415,55111,1243
97415,56355,97603,56355,189
97415,56355,97603,57620,239274
97415,56355,97420,58795,14646
97415,56355,97420,60036,22092
97415,56355,97381,60036,121506
97415,56355,3554,59411,286930020
97415,56355,2752,59411,289381734
97415,56355,2752,58208,175503348
97415,56355,2547,58208,175883418
97415,56355,2547,56980,59386742
97415,56355,2517,56980,59405522
97415,56355,2517,55823,50390307
97415,56355,2667,54524,173387010
97415,56355,2667,53339,285662205
97415,56355,94671,50270,16688412
